SAMPLENAME	weeks	celltype	organ
wk9_U	9	bulk	PB
wk14_U	14	bulk	PB
wk20_U	20	bulk	PB
wk22_U	22	bulk	PB
wk22_B	22	B	PB
wk22_T	22	T	PB
sac_BM_Front_U	sac	bulk	BM_Front
sac_BM_Front_B	sac	B	BM_Front
sac_BM_Front_T	sac	T	BM_Front
sac_BM_Left_B	sac	B	BM_Left
sac_BM_Left_T	sac	T	BM_Left
sac_BM_Left_G	sac	G	BM_Left
sac_BM_Right_U	sac	bulk	BM_Right
sac_BM_Right_B	sac	B	BM_Right
sac_BM_Right_T	sac	T	BM_Right
sac_BM_Right_G	sac	G	BM_Right
sac_BM_Spine_U	sac	bulk	BM_Spine
sac_BM_Spine_B	sac	B	BM_Spine
sac_BM_Spine_T	sac	T	BM_Spine
sac_BM_Spine_G	sac	G	BM_Spine
sac_BM_Pelvis_U	sac	bulk	BM_Pelvis
sac_BM_Pelvis_B	sac	B	BM_Pelvis
sac_Spleen_U	sac	bulk	Spleen
