SAMPLENAME	weeks	celltype	organ
1	wk9_U	9	bulk	PB
2	wk14_U	14	bulk	PB
3	wk20_U	20	bulk	PB
4	wk22_U	22	bulk	PB
5	wk22_B	22	B	PB
6	wk22_T	22	T	PB
7	sac_sac_BM_Front_U	sac	bulk	BM_Front
8	sac_sac_BM_Front_B	sac	B	BM_Front
9	sac_sac_BM_Front_T	sac	T	BM_Front
10	sac_sac_BM_Left_B	sac	B	BM_Left
11	sac_sac_BM_Left_T	sac	T	BM_Left
12	sac_sac_BM_Left_G	sac	G	BM_Left
13	sac_sac_BM_Right_U	sac	bulk	BM_Right
14	sac_sac_BM_Right_B	sac	B	BM_Right
15	sac_sac_BM_Right_T	sac	T	BM_Right
16	sac_sac_BM_Right_G	sac	G	BM_Right
17	sac_sac_BM_Spine_U	sac	bulk	BM_Spine
18	sac_sac_BM_Spine_B	sac	B	BM_Spine
19	sac_sac_BM_Spine_T	sac	T	BM_Spine
20	sac_sac_BM_Spine_G	sac	G	BM_Spine
21	sac_sac_BM_Pelvis_U	sac	bulk	BM_Pelvis
22	sac_sac_BM_Pelvis_B	sac	B	BM_Pelvis
23	sac_sac_Spleen_U	sac	bulk	Spleen
