"chromosome","position","strand","cellType","patient","reads","sampleReplicate","timePoint","timePointMonths","inferredCells","relativeAbundance","nearestGene","source","sample"
"chr1_GL383520v2_alt",283857,"-","Tcells","p00001",1,"GTSP0019-4","m6",6,1,0.103950103950104,"PTPRC","Illumina","GTSP0019"
"chr1",13700875,"-","Tcells","p00001",1,"GTSP0019-1","m6",6,1,0.103950103950104,"PRDM2","Illumina","GTSP0019"
"chr1",13700877,"-","Tcells","p00001",4534,"GTSP0019-1","m6",6,6,0.623700623700624,"PRDM2","Illumina","GTSP0019"
"chr1",151459671,"-","Tcells","p00001",24,"GTSP0019-3","m6",6,1,0.103950103950104,"POGZ","Illumina","GTSP0019"
"chr1",159010679,"-","Tcells","p00001",816,"GTSP0019-4","m6",6,1,0.103950103950104,"IFI16","Illumina","GTSP0019"
"chr1",161266318,"-","Tcells","p00001",1535,"GTSP0019-1","m6",6,1,0.103950103950104,"PCP4L1","Illumina","GTSP0019"
"chr1",167629475,"-","Tcells","p00001",8,"GTSP0019-1","m6",6,1,0.103950103950104,"RCSD1","Illumina","GTSP0019"
"chr1",169671894,"-","Tcells","p00001",1258,"GTSP0019-1","m6",6,1,0.103950103950104,"SELL","Illumina","GTSP0019"
"chr1",173050489,"-","Tcells","p00001",896,"GTSP0019-3","m6",6,1,0.103950103950104,"TNFSF18","Illumina","GTSP0019"
"chr1",199042742,"-","Tcells","p00001",725,"GTSP0019-2","m6",6,1,0.103950103950104,"LINC01221","Illumina","GTSP0019"
"chr1",199859565,"-","Tcells","p00001",147,"GTSP0019-3","m6",6,1,0.103950103950104,"NR5A2","Illumina","GTSP0019"
"chr1",234523588,"-","Tcells","p00001",861,"GTSP0019-2","m6",6,1,0.103950103950104,"LINC01354","Illumina","GTSP0019"
"chr1",24956912,"-","Tcells","p00001",1811,"GTSP0019-1","m6",6,3,0.311850311850312,"RUNX3","Illumina","GTSP0019"
"chr1",26786253,"-","Tcells","p00001",1581,"GTSP0019-2","m6",6,3,0.311850311850312,"PIGV","Illumina","GTSP0019"
"chr1",30757441,"-","Tcells","p00001",3,"GTSP0019-3","m6",6,1,0.103950103950104,"LAPTM5","Illumina","GTSP0019"
"chr1",37515310,"-","Tcells","p00001",6,"GTSP0019-1","m6",6,1,0.103950103950104,"MEAF6","Illumina","GTSP0019"
"chr1",41766286,"-","Tcells","p00001",323,"GTSP0019-1","m6",6,2,0.207900207900208,"HIVEP3","Illumina","GTSP0019"
