4_months	6_months	12_months	18_months	24_months
chr1.10512610.-	14	1	0	0	0
chr1.109081437.-	1	0	0	0	0
chr1.109791610.-	55	18	0	0	0
chr1.11173226.-	1	0	0	0	0
chr1.11736980.-	5	0	0	0	0
chr1.12522932.-	1	0	0	0	0
chr1.150365500.-	13	9	0	1	0
chr1.150610771.-	2	3	0	0	0
chr1.151381537.-	4	6	1	1	1
chr1.153945508.-	14	3	3	3	2
chr1.155251183.-	1	1	0	0	0
chr1.155968346.-	23	19	0	1	0
chr1.159010727.-	8	25	3	0	0
chr1.169667470.-	1	0	0	0	0
chr1.173429951.-	1	0	0	0	0
chr1.183895158.-	21	9	1	0	0
chr1.192565776.-	16	42	3	3	3
chr1.207309108.-	2	0	0	0	0
chr1.211619542.-	1	0	0	0	0
chr1.234746723.-	2	0	0	0	0
chr1.246577109.-	4	20	0	1	0
chr1.25033810.-	71	31	0	3	1
chr1.25120211.-	1	0	0	0	0
chr1.25465381.-	8	21	0	2	0
chr1.26285129.-	2	0	0	0	0
chr1.27669787.-	23	7	1	0	3
chr1.28648567.-	1	1	0	0	0
chr1.32733193.-	1	0	0	0	0
chr1.37846421.-	2	1	0	2	0
chr1.39198106.-	2	1	0	0	0
chr1.41242932.-	1	29	0	1	0
chr1.42932384.-	3	1	0	0	0
chr1.44722777.-	33	22	6	3	1
chr1.51569221.-	23	11	0	0	0
chr1.78618875.-	5	240	17	32	17
chr1.8428457.-	2	5	0	1	0
chr1.8428788.-	1	0	0	0	0
chr1.89693178.-	6	5	0	0	0
chr1.107899874.+	94	88	3	3	4
chr1.113812807.+	28	24	0	2	0
chr1.113859143.+	9	2	0	0	0
chr1.115977622.+	1	1	0	0	0
chr1.146006930.+	4	0	0	0	0
chr1.148158481.+	1	24	2	0	2
chr1.148977859.+	10	4	0	2	1
chr1.154730225.+	6	3	0	0	0
chr1.160541184.+	2	1	0	0	0
chr1.161338983.+	1	0	0	0	0
chr1.169696887.+	3	3	0	0	0
chr1.183904806.+	27	8	4	6	3
chr1.207414323.+	4	1	0	0	0
chr1.235337002.+	2	0	0	0	0
chr1.246572952.+	14	9	0	0	0
chr1.24666596.+	1	0	0	0	0
chr1.26531033.+	9	8	0	0	0
chr1.27526850.+	1	0	0	0	0
chr1.28417304.+	1	1	0	0	0
chr1.31888596.+	1	0	0	0	0
chr1.32249336.+	2	0	0	0	0
chr1.32816145.+	5	3	0	0	0
chr1.39205574.+	10	9	2	0	2
chr1.44826901.+	3	0	0	0	0
chr1.69573641.+	1	66	6	2	0
chr1.78143628.+	13	14	0	0	0
chr1.78618882.+	119	70	8	7	2
chr1.85994324.+	3	2	0	0	0
chr1.89065803.+	9	29	0	1	0
chr1.89949382.+	1	0	0	0	0
chr1.93729876.+	1	0	0	0	0
chr1.93879616.+	11	14	0	2	0
chr1.94092146.+	21	13	0	0	2
chr1.97851375.+	2	4	0	0	1
chr10.100268900.-	24	9	0	0	0
chr10.110867465.-	2	0	0	0	0
chr10.114692027.-	9	7	0	1	0
chr10.12338332.-	1	2	0	0	0
chr10.131898178.-	11	11	0	0	0
chr10.19861267.-	1	0	0	0	0
chr10.212273.-	1	0	0	0	0
chr10.21511138.-	69	55	2	3	2
chr10.26440350.-	16	25	0	1	1
chr10.26484005.-	2	1	1	0	0
chr10.4452982.-	1	1	0	0	0
chr10.61575238.-	41	23	1	2	0
chr10.6475352.-	2	1	0	0	0
chr10.6926766.-	1	2	0	0	0
chr10.6927968.-	38	30	0	5	3
chr10.70779473.-	24	28	3	0	0
