m13_TCELLS	m13_BCELLS	m13_NKCELLS	m13_GRANULOCYTES	m13_MONOCYTES	m36_TCELLS	m36_BCELLS	m36_NKCELLS	m36_GRANULOCYTES	m36_MONOCYTES	m43_TCELLS	m43_BCELLS	m43_NKCELLS	m43_GRANULOCYTES	m43_MONOCYTES	m55_TCELLS	m55_BCELLS	m55_NKCELLS	m55_GRANULOCYTES	m55_MONOCYTES
chr1-1016499	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-11077138	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-11200060	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr1-120331772	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-145205733	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-148449699	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-150937887	4	1	0	0	0	5	0	0	0	0	3	0	0	0	0	10	4	0	0	1
chr1-151667975	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr1-153560345	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr1-153894030	1	2	1	3	3	1	2	0	0	0	1	0	0	0	0	2	4	0	0	0
chr1-155246185	2	3	0	0	0	1	0	2	0	0	1	0	1	0	0	2	3	34	1	0
chr1-155776921	3	3	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr1-158390725	1	2	0	0	0	73	2	0	2	0	11	0	0	0	0	81	5	0	2	1
chr1-15869114	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-161332677	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-161434626	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-16319040	3	5	0	0	0	2	1	0	0	0	0	0	0	0	0	6	4	0	0	0
chr1-169243683	1	2	0	0	1	0	2	0	0	0	2	0	0	0	0	1	2	0	0	0
chr1-174224258	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
