4_months	6_months	12_months	18_months	24_months
chr1.10512610.-	171	99	0	0	0
chr1.109081437.-	4	0	0	0	0
chr1.109791610.-	1341	520	0	0	0
chr1.11173226.-	1	0	0	0	0
chr1.11736980.-	81	0	0	0	0
chr1.12522932.-	1	0	0	0	0
chr1.150365500.-	131	82	0	4	0
chr1.150610771.-	3	96	0	0	0
chr1.151381537.-	48	100	717	3	6
chr1.153945508.-	245	129	671	45	38
chr1.155251183.-	1	1	0	0	0
chr1.155968346.-	171	352	0	10	0
chr1.159010727.-	85	623	645	0	0
chr1.169667470.-	18	0	0	0	0
chr1.173429951.-	36	0	0	0	0
chr1.183895158.-	413	249	739	0	0
chr1.192565776.-	209	1901	3945	5	52
chr1.207309108.-	14	0	0	0	0
chr1.211619542.-	1	0	0	0	0
chr1.234746723.-	52	0	0	0	0
chr1.246577109.-	26	812	0	24	0
chr1.25033810.-	1473	1458	0	53	39
chr1.25120211.-	57	0	0	0	0
chr1.25465381.-	168	494	0	20	0
chr1.26285129.-	16	0	0	0	0
chr1.27669787.-	356	96	103	0	15
chr1.28648567.-	1	32	0	0	0
chr1.32733193.-	1	0	0	0	0
chr1.37846421.-	2	1	0	24	0
chr1.39198106.-	74	148	0	0	0
chr1.41242932.-	8	852	0	4	0
chr1.42932384.-	151	50	0	0	0
chr1.44722777.-	384	630	4896	5	32
chr1.51569221.-	451	112	0	0	0
chr1.78618875.-	87	8344	6329	647	334
chr1.8428457.-	20	169	0	3	0
chr1.8428788.-	2	0	0	0	0
chr1.89693178.-	83	241	0	0	0
chr1.107899874.+	1470	3192	1314	26	59
chr1.113812807.+	437	733	0	4	0
chr1.113859143.+	176	147	0	0	0
chr1.115977622.+	4	4	0	0	0
chr1.146006930.+	152	0	0	0	0
chr1.148158481.+	1	282	982	0	3
chr1.148977859.+	74	45	0	57	6
chr1.154730225.+	95	131	0	0	0
chr1.160541184.+	12	1	0	0	0
chr1.161338983.+	1	0	0	0	0
chr1.169696887.+	42	57	0	0	0
chr1.183904806.+	221	43	1435	76	40
chr1.207414323.+	12	19	0	0	0
chr1.235337002.+	22	0	0	0	0
chr1.246572952.+	114	214	0	0	0
chr1.24666596.+	1	0	0	0	0
chr1.26531033.+	125	115	0	0	0
chr1.27526850.+	1	0	0	0	0
chr1.28417304.+	23	20	0	0	0
chr1.31888596.+	37	0	0	0	0
chr1.32249336.+	2	0	0	0	0
chr1.32816145.+	55	6	0	0	0
chr1.39205574.+	55	33	673	0	35
chr1.44826901.+	16	0	0	0	0
chr1.69573641.+	19	944	1310	14	0
chr1.78143628.+	156	187	0	0	0
chr1.78618882.+	2010	1730	4922	227	62
chr1.85994324.+	22	9	0	0	0
chr1.89065803.+	91	340	0	2	0
chr1.89949382.+	1	0	0	0	0
chr1.93729876.+	28	0	0	0	0
chr1.93879616.+	90	221	0	13	0
chr1.94092146.+	139	257	0	0	48
chr1.97851375.+	20	12	0	0	46
chr10.100268900.-	292	265	0	0	0
chr10.110867465.-	10	0	0	0	0
chr10.114692027.-	39	102	0	7	0
chr10.12338332.-	2	22	0	0	0
chr10.131898178.-	73	393	0	0	0
chr10.19861267.-	1	0	0	0	0
chr10.212273.-	5	0	0	0	0
chr10.21511138.-	1435	1937	1403	10	2
chr10.26440350.-	104	954	0	5	8
chr10.26484005.-	35	1	4	0	0
chr10.4452982.-	1	7	0	0	0
chr10.61575238.-	451	401	1	71	0
chr10.6475352.-	2	12	0	0	0
chr10.6926766.-	1	157	0	0	0
chr10.6927968.-	447	732	0	84	71
chr10.70779473.-	352	1016	3268	0	0
chr10.943640.-	32	0	0	0	0
chr10.96673210.-	4649	2770	693	232	333
chr10.98134835.-	13	36	0	0	10
chr10.988491.-	406	1888	1283	77	140
chr10.100229208.+	12	122	0	0	0
chr10.102118608.+	11	0	0	0	0
chr10.119516996.+	58	41	0	0	0
chr10.12186388.+	21	68	0	0	0
chr10.13293569.+	1	0	0	0	0
