m13_TCELLS	m13_BCELLS	m13_NKCELLS	m13_GRANULOCYTES	m13_MONOCYTES	m36_TCELLS	m36_BCELLS	m36_NKCELLS	m36_GRANULOCYTES	m36_MONOCYTES	m43_TCELLS	m43_BCELLS	m43_NKCELLS	m43_GRANULOCYTES	m43_MONOCYTES	m55_TCELLS	m55_BCELLS	m55_NKCELLS	m55_GRANULOCYTES	m55_MONOCYTES
chr1-1016499	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-11077138	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-11200060	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0
chr1-120331772	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-145205733	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-148449699	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-150937887	2111	1	0	0	0	3297	0	0	0	0	3756	0	0	0	0	554	78	0	0	13
chr1-151667975	93	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0
chr1-153560345	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
chr1-153894030	2	856	119	146	55	1	33	0	0	0	5	0	0	0	0	33	241	0	0	0
chr1-155246185	37	2640	0	0	0	1	0	4	0	0	473	0	30	0	0	85	134	685	58	0
chr1-155776921	5420	1246	0	0	0	1959	0	0	0	0	0	0	0	0	0	2	0	0	0	0
chr1-158390725	273	123	0	0	0	36491	208	0	2850	0	14816	0	0	0	0	10060	709	0	9	6753
chr1-15869114	648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-161332677	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-161434626	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-16319040	4345	7227	0	0	0	32	2860	0	0	0	0	0	0	0	0	346	66	0	0	0
chr1-169243683	1735	3758	0	0	5	0	3608	0	0	0	274	0	0	0	0	5	181	0	0	0
chr1-174224258	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
